Social- og Indenrigsministeriets Kommunale N(ø)gletal;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kom.nr;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indbyggertal 1. januar;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aabenraa Kommune;580;59.999;60.045;60.434;60.296;60.189;60.116;60.025;60.066;60.016;60.074;60.151;59.974;60.044;60.189;60.392;59.978;59.795;59.600;59.208;58.970;58.904;58.869;59.003;59.089;59.035;58.761
Fredericia Kommune;607;47.037;47.260;47.616;47.837;47.947;48.066;48.216;48.487;48.533;48.857;49.147;49.252;49.260;49.463;49.690;49.849;50.104;50.193;50.374;50.324;50.429;50.689;50.868;51.326;51.427;51.377
Kolding Kommune (3);621;80.501;81.224;82.112;82.657;82.988;83.397;83.864;84.512;84.971;85.758;86.096;86.492;87.183;87.781;88.519;89.071;89.210;89.412;89.556;90.066;90.794;91.695;92.282;92.515;92.893;93.175
Vejle Kommune (3);630;96.123;97.207;97.880;98.482;99.018;99.361;100.153;100.825;101.368;101.800;102.372;102.938;104.101;104.933;105.884;106.383;107.218;108.021;108.826;109.652;110.471;111.743;113.243;114.140;114.830;115.748
Horsens Kommune (3);615;72.218;72.907;73.454;73.699;73.883;74.263;74.369;74.736;75.359;75.968;76.656;77.886;79.020;80.102;81.565;81.957;82.835;83.598;84.871;85.662;86.361;87.736;89.030;89.598;90.370;90.966
Herning Kommune;657;80.705;81.090;80.940;81.147;81.175;81.427;81.703;82.172;82.480;82.760;82.935;83.330;83.598;84.208;85.217;85.548;85.852;86.348;86.595;86.842;86.864;87.593;88.386;88.733;88.917;89.127
Holstebro Kommune;661;54.470;54.853;55.044;55.369;55.804;55.759;56.007;56.206;56.311;56.145;56.204;56.462;56.582;57.020;57.267;57.056;57.161;57.153;57.254;57.338;57.494;57.661;58.125;58.418;58.504;58.591
Lemvig Kommune;665;24.104;24.123;24.014;23.930;23.933;23.863;23.751;23.443;23.312;23.121;22.760;22.483;22.237;22.067;21.946;21.790;21.554;21.384;21.223;20.933;20.657;20.399;20.291;20.133;19.998;19.722
Struer Kommune;671;22.968;22.945;22.843;22.830;22.864;22.920;22.855;22.996;22.962;22.927;22.752;22.695;22.591;22.672;22.642;22.483;22.190;22.098;21.846;21.533;21.439;21.474;21.347;21.270;21.143;21.036
Syddjurs Kommune;706;37.360;37.992;38.136;38.531;38.853;39.044;39.089;39.358;39.602;39.935;40.196;40.430;41.003;41.281;41.314;41.392;41.734;41.815;41.894;41.719;41.652;41.889;42.021;42.468;42.768;42.962
Norddjurs Kommune (3);707;38.076;38.566;38.809;38.844;38.837;38.780;38.648;38.465;38.272;38.323;38.248;38.384;38.333;38.581;38.390;38.148;38.029;37.876;38.035;37.925;37.898;38.144;38.099;38.197;37.680;37.089
Favrskov Kommune (3);710;39.814;40.186;40.632;41.034;41.273;41.791;42.006;42.467;42.755;43.151;43.682;44.218;45.037;45.604;46.248;46.529;46.894;47.117;47.156;47.163;47.523;47.655;47.915;48.271;48.374;48.397
Odder Kommune;727;19.251;19.469;19.547;19.750;19.768;19.901;20.156;20.396;20.728;20.863;21.133;21.332;21.469;21.562;21.593;21.721;21.852;21.749;21.800;21.773;21.928;22.131;22.331;22.626;22.675;22.844
Randers Kommune (3);730;90.778;91.531;91.837;91.818;91.723;91.634;91.836;91.963;91.998;91.927;92.170;92.656;92.984;93.644;94.221;94.750;95.318;95.756;96.007;96.343;96.800;97.520;98.118;98.265;97.909;97.805
Silkeborg Kommune;740;77.891;78.753;79.061;79.849;80.219;80.570;81.199;81.772;82.601;83.390;84.167;85.376;86.540;87.371;88.016;88.481;88.913;89.328;89.346;89.633;90.016;90.719;91.237;92.024;93.054;94.026
Samsø Kommune;741;4.323;4.357;4.331;4.325;4.318;4.233;4.266;4.251;4.221;4.197;4.125;4.124;4.130;4.085;4.003;4.010;3.885;3.889;3.806;3.767;3.733;3.710;3.724;3.720;3.684;3.657
Skanderborg Kommune (3);746;48.415;48.872;49.318;49.846;50.486;51.047;51.577;52.055;52.636;53.181;54.109;54.655;55.300;56.044;56.636;57.303;57.717;58.008;58.094;58.176;58.782;59.481;60.401;61.158;61.974;62.678
Aarhus Kommune;751;277.477;279.759;281.396;282.137;283.673;284.846;286.668;288.837;291.258;293.510;294.954;295.513;296.170;298.538;302.618;306.650;310.956;314.545;319.094;323.893;326.246;330.639;335.684;340.421;345.332;349.983
Ikast-Brande Kommune;756;38.205;38.630;38.699;38.711;38.787;38.803;38.754;38.927;39.149;39.248;39.371;39.528;39.681;39.893;40.176;40.312;40.571;40.658;40.468;40.602;40.598;40.798;40.981;41.191;41.282;41.369
Ringkøbing-Skjern Kommune;760;56.965;57.476;57.302;57.306;57.382;57.392;57.668;57.865;58.085;57.877;57.818;57.774;58.112;58.368;58.803;58.439;58.068;57.892;57.529;57.093;57.042;57.139;57.022;57.005;56.930;56.594
Hedensted Kommune (3);766;40.280;40.706;41.103;41.450;41.914;42.112;42.407;42.600;42.798;43.159;43.600;44.217;44.892;45.561;45.954;45.982;45.980;46.029;45.868;45.715;46.091;46.206;46.524;46.616;46.747;46.722
Skive Kommune;779;48.231;48.498;48.565;48.622;48.714;48.731;48.901;48.899;48.770;48.675;48.368;48.264;48.344;48.356;48.300;48.137;47.986;47.620;47.291;46.942;46.641;46.639;46.540;46.599;46.224;45.851
Viborg Kommune (3);791;85.212;85.984;86.537;86.822;86.995;87.410;87.737;88.310;88.724;89.039;89.631;90.517;91.405;92.084;92.823;93.310;93.498;93.819;94.333;94.486;94.985;95.776;96.477;96.883;97.113;96.921
Morsø Kommune;773;23.142;23.133;23.028;23.062;23.034;22.989;22.806;22.666;22.672;22.636;22.479;22.333;22.196;22.091;22.098;21.833;21.600;21.474;21.189;21.003;20.816;20.629;20.665;20.514;20.403;20.247
Thisted Kommune;787;47.416;47.660;47.415;47.354;47.270;47.108;46.908;46.790;46.699;46.581;46.158;45.910;45.580;45.549;45.596;45.297;45.145;44.908;44.494;44.230;44.078;43.991;43.826;43.716;43.660;43.423
Brønderslev Kommune;810;35.205;35.088;35.127;35.241;35.219;35.249;35.296;35.397;35.518;35.508;35.320;35.313;35.445;35.525;35.762;35.804;35.789;35.754;35.600;35.627;35.781;36.047;36.128;36.289;36.370;36.304
Frederikshavn Kommune;813;66.388;66.478;66.181;66.055;65.849;65.749;65.484;64.992;64.705;64.209;63.799;63.084;62.877;62.751;62.525;62.007;61.576;61.158;60.775;60.458;60.377;60.246;60.356;60.140;59.987;59.654
Vesthimmerlands Kommune (3);820;37.619;37.921;38.050;38.289;38.398;38.421;38.404;38.341;38.243;38.131;37.899;37.893;37.841;38.277;38.495;38.106;37.864;37.534;37.586;37.479;37.399;37.296;37.285;37.277;37.121;36.727
Læsø Kommune;825;2.388;2.381;2.362;2.351;2.282;2.293;2.266;2.268;2.228;2.177;2.145;2.091;2.058;2.003;1.993;1.969;1.949;1.897;1.839;1.808;1.795;1.817;1.793;1.807;1.806;1.786
Rebild Kommune (3);840;26.984;27.266;27.279;27.387;27.491;27.600;27.770;28.008;28.120;28.198;28.376;28.365;28.633;28.753;28.900;28.852;28.940;28.911;28.866;28.794;28.859;29.149;29.391;29.827;29.916;30.113
Mariagerfjord Kommune (3);846;40.631;41.064;41.342;41.479;41.567;41.658;41.759;41.868;42.058;41.962;42.007;42.045;42.288;42.667;42.762;42.604;42.572;42.429;42.111;42.093;42.134;42.131;42.066;42.125;42.055;41.800
Jammerbugt Kommune;849;38.029;38.230;38.322;38.463;38.605;38.772;38.896;38.888;38.980;38.965;38.884;38.704;38.787;38.957;38.990;38.927;38.733;38.611;38.597;38.351;38.293;38.466;38.581;38.638;38.460;38.324
Aalborg Kommune;851;186.415;187.632;188.595;188.752;189.245;189.476;190.181;191.051;191.325;192.188;192.353;193.529;194.149;195.145;196.292;197.426;199.188;201.142;203.448;205.809;207.805;210.316;211.937;213.558;215.312;217.075
Hjørring Kommune;860;68.066;68.303;68.459;68.649;68.643;68.479;68.369;68.325;68.022;67.898;67.816;67.480;67.118;67.121;67.102;66.803;66.473;66.178;65.767;65.405;65.295;65.411;65.307;65.257;64.665;64.483
I alt (15);;5.215.605;5.250.917;5.275.027;5.294.762;5.313.474;5.329.921;5.349.110;5.368.248;5.383.403;5.397.539;5.411.307;5.427.367;5.446.989;5.475.695;5.511.355;5.534.637;5.560.534;5.580.413;5.602.536;5.627.145;5.659.624;5.707.160;5.748.691;5.781.107;5.805.991;5.822.679
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tegnforklaring:;;;;;;;;;;;;;;;;;;;;;;;;;;;
-  Et 'rent' nul (afrundede nuller vises som 0 eller 0,0 osv.);;;;;;;;;;;;;;;;;;;;;;;;;;;
U  Det pågældende nøgletal er udefineret for året.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Noter:;;;;;;;;;;;;;;;;;;;;;;;;;;;
(3)  Tal før kommunalreformen 2007 (vist med kursiv) er her skønnede tal, da der indgår delte kommuner i den sammenlagte kommune (delte kommuner er medregnet i det skønnede tal i forhold til den andel af indbyggerne i kommunen, der er overgået til den nye sammenlagte kommune.;;;;;;;;;;;;;;;;;;;;;;;;;;;
(15)  I tal før kommunalreformen 2007 (vist med kursiv) indgår skønnede tal, da gennemsnittet omfatter en eller flere sammenlagte kommuner, hvori der indgår delte kommuner (delte kommuner er medregnet i det skønnede tal i forhold til den andel af indbyggerne i kommunen, der er overgået til den nye sammenlagte kommune.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valgte kommuner:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
I rapporten indgår de 98 kommuner fra gruppen 'Marker alle kommuner'.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Social- og Indenrigsministeriet d. 04. november 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
